id,EmployerName,JobTitle,Year,Wage
1,"NETFLIX, INC.",SENIOR DEVELOPER - DATA SCIENCE & ENGINEERING,2011,131518
2,"NETFLIX, INC.",SENIOR ARCHITECT - DATA SCIENCE AND ENGINEERING,2011,79123
3,"UT-BATTELLE, LLC (OAK RIDGE NATIONAL LABORATORY)","RESEARCH SCIENTIST, GEOGRAPHIC DATA SCIENCES",2011,45552
4,"WAVE IMAGING TECHNOLOGY, INC.",GEOLOGICAL DATA SCIENCE TECHNICIAN,2011,52520
5,"OMNICOM MEDIA GROUP HOLDINGS, INC.",DIRECTOR OF DATA SCIENCES,2012,82867
6,"BANJO, INC.",DIRECTOR OF DATA SCIENCE,2012,121118
7,"EVENTBRITE, INC.","SOFTWARE ENGINEER, DATA SCIENCE",2013,100755
8,"ADFIN SOLUTIONS, INC.","SOFTWARE ENGINEER, DATA SCIENCE",2013,101754
9,"WHITEPAGES, INC.","SOFTWARE DEVELOPMENT ENGINEER, DATA SCIENCE",2013,78936
10,LINKEDIN CORPORATION,SENIOR TECHNICAL PROGRAM MANAGER - DATA SCIENCE,2013,96034
11,"EVENTBRITE, INC.","SENIOR SOFTWARE ENGINEER, DATA SCIENCE",2013,100755
12,APPLE INC.,SENIOR DATA SCIENCES ENGINEER,2013,144206
13,"UT-BATTELLE, LLC (OAK RIDGE NATIONAL LABORATORY)","RESEARCH SCIENTIST, GEOGRAPHIC DATA SCIENCES",2013,45552
14,"THE ACTIVE NETWORK, INC.","PRODUCT MANAGER, DATA SCIENCE",2013,83075
15,"FAB.COM, INC.",MANAGER OF DATA SCIENCE,2013,96512
16,"CHDI MANAGEMENT, INC.","DIRECTOR, BIOINFORMATICS DATA SCIENCE",2013,83200
17,TWO SIX CAPITAL LLC,DIRECTOR OF DATA SCIENCE,2013,88088
18,"REVINATE, INC.",DIRECTOR OF DATA SCIENCE,2013,133058
19,"FAB.COM, INC.",DIRECTOR OF DATA SCIENCE,2013,96512
20,"BANJO, INC.",DIRECTOR OF DATA SCIENCE,2013,121118
21,"A9.COM, INC.",DATA SCIENCES ENGINEER I,2013,62982
22,"NETFLIX, INC.",DATA SCIENCE ENGINEER - CUSTOMER ANALYTICS,2013,113443
23,BESTOP LLC,DATA SCIENCE ARCHITECT,2013,59550
24,"NETFLIX, INC.",SR. DEVELOPER - DATA SCIENCE AND ENGINEERING,2014,134534
25,"EVENTBRITE, INC.","SOFTWARE ENGINEER, DATA SCIENCE",2014,100755
26,"MIXAROO, INC.",SOFTWARE ENGINEER - DATA SCIENCE,2014,110094
27,SPARKCOGNITION INC.,SOFTWARE ENGINEER (DATA SCIENCE),2014,60600
28,LINKEDIN CORPORATION,SENIOR TECHNICAL PROGRAM MANAGER - DATA SCIENCE,2014,96034
29,CATALINA MARKETING CORPORATION,"SENIOR STATISTICAL ANALYST, DATA SCIENCE",2014,78728
30,"OPENTABLE, INC.",SENIOR SOFTWARE ENGINEER (DATA SCIENCE ENGINEER),2014,112674
31,"SALESFORCE.COM, INC.","SENIOR MEMBER OF TECHNICAL STAFF, DATA SCIENCE",2014,148803
32,"ELECTRONIC ARTS, INC.","SENIOR MANAGER, DATA SCIENCE",2014,102814
33,"SALESFORCE.COM, INC.","MTS, DATA SCIENCE",2014,93267
34,APPLE INC.,MAPS DATA SCIENCES ENGINEER,2014,127150
35,"COACH, INC.","MANAGER, ADVANCED ANALYTICS/DATA SCIENCE",2014,89586
36,"ZIFF BROTHERS INVESTMENTS, LLC",MANAGER OF DATA SCIENCE,2014,122845
37,MYFITNESSPAL INC.,HEAD OF DATA SCIENCE,2014,190258
38,"SALESFORCE.COM, INC.","DIRECTOR, DATA SCIENCE",2014,214864
39,"BAAZ DATA, INC.","DIRECTOR, DATA SCIENCE",2014,148034
40,"OMNICOM MEDIA GROUP HOLDINGS, INC.",DIRECTOR OF DATA SCIENCES,2014,82867
41,TWO SIX CAPITAL LLC,DIRECTOR OF DATA SCIENCE,2014,88088
42,"STUDIO SBV, INC",DIRECTOR OF DATA SCIENCE,2014,82514
43,"JESS3, LLC",DIRECTOR OF DATA SCIENCE,2014,54288
44,"SUMO LOGIC, INC.",DATA SCIENCES ENGINEER,2014,73861
45,"A9.COM, INC.",DATA SCIENCES ENGINEER,2014,80746
46,"AIG PC GLOBAL SERVICES, INC.",DATA SCIENCE MODEL DEVELOPMENT TECH LEAD,2014,106392
47,EQUITYMETRIX LLC,DATA SCIENCE LEAD,2014,62379
48,VEEJAY ASSCOIATES,DATA SCIENCE DEVELOPER,2014,72987
49,"TIGER ANALYTICS, LLC",DATA SCIENCE CONSULTANT,2014,75067
50,"GFI USA, INC.",DATA SCIENCE ASSOCIATE,2014,39083
51,"TYCO ELECTRONICS CORPORATION, A TE CONNECTIVITY LT",DATA SCIENCE AND STRATEGIC ANALYTICS ANALYST,2014,70138
52,GSR TECHNOLOGIES INC.,DATA SCIENCE ANALYST - BIG DATA ENGINEER,2014,41288
53,JPMORGAN CHASE & CO.,"ASSOCIATE, DATA SCIENCE & ANALYTICS",2014,60362
54,BRISTOL-MYERS SQUIBB COMPANY,"ASSOCIATE DIRECTOR, DATA SCIENCES",2014,115918
55,TAPJOY INC.,ASSOCIATE DATA SCIENCE ENGINEER,2014,73861
56,NORTHERN KENTUCKY UNIVERSITY,ASSISTANT PROFESSOR OF DATA SCIENCE,2014,41790
57,MASTERCARD INTERNATIONAL INCORPORATED,"ANALYST, DATA SCIENCE",2014,88088
58,"ADTHEORENT, INC.",VP OF DATA SCIENCE,2015,164466
59,JAVELIN DIRECT INC.,"STATISTICIAN, DATA SCIENCES",2015,89918
60,TAPJOY INC.,STAFF DATA SCIENCE ENGINEER,2015,134638
61,"FANATICS RETAIL GROUP FULFILLMENT, INC.",SOFTWARE ENGINEER- DATA SCIENCE & ENGINEERING,2015,138403
62,"STITCH FIX, INC.","SOFTWARE ENGINEER, DATA SCIENCE PLATFORM",2015,134638
63,"C3, INC.","SOFTWARE ENGINEER, DATA SCIENCE",2015,94162
64,"SUMO LOGIC, INC.",SOFTWARE ENGINEER - DATA SCIENCE 3,2015,96866
